AL,397,24,33,8,21.410000000000,76.070000000000,2.520000000000,9
MA,717,21,31,9,17.430000000000,80.330000000000,2.230000000000,10
SE,335,21,31,10,15.220000000000,84.780000000000,0.000000000000,16
PI,476,19,30,11,13.870000000000,84.030000000000,2.100000000000,13
CE,1279,21,32,10,13.760000000000,84.680000000000,1.560000000000,15
RR,41,29,46,17,12.200000000000,87.800000000000,0.000000000000,36
BA,3256,19,30,10,12.160000000000,85.960000000000,1.870000000000,12
RJ,12350,15,26,11,12.110000000000,86.530000000000,1.370000000000,13
PA,946,23,37,14,11.210000000000,87.630000000000,1.160000000000,12
ES,1995,15,26,10,10.730000000000,87.770000000000,1.500000000000,11
PB,517,20,33,13,10.440000000000,88.970000000000,0.580000000000,10
TO,274,17,29,12,9.850000000000,87.230000000000,2.920000000000,6
MS,701,15,26,11,9.700000000000,88.450000000000,1.850000000000,8
PE,1593,18,31,13,9.600000000000,89.200000000000,1.190000000000,11
RN,474,19,32,13,9.280000000000,89.240000000000,1.480000000000,14
SC,3546,14,26,11,8.210000000000,90.240000000000,1.550000000000,8
GO,1957,15,27,12,6.540000000000,91.820000000000,1.640000000000,11
RS,5344,15,29,13,6.080000000000,92.850000000000,1.070000000000,10
MT,886,18,32,14,5.980000000000,93.230000000000,0.790000000000,10
DF,2080,12,24,12,5.670000000000,92.930000000000,1.390000000000,7
MG,11354,11,25,13,4.570000000000,94.390000000000,1.040000000000,8
SP,40494,8,19,11,4.490000000000,94.110000000000,1.400000000000,8
PR,4923,11,25,13,4.040000000000,95.000000000000,0.950000000000,8
AC,80,21,41,20,3.750000000000,96.250000000000,0.000000000000,18
AP,67,27,46,19,2.990000000000,95.520000000000,1.490000000000,72
RO,243,19,39,20,2.880000000000,97.120000000000,0.000000000000,5
AM,145,26,45,19,2.760000000000,95.860000000000,1.380000000000,30
